mRNA,TCGA-IB-A6UG-01A,TCGA-3A-A9IU-01A,TCGA-FB-A545-01A,TCGA-IB-AAUQ-01A,TCGA-HV-A5A3-01A,TCGA-IB-7897-01A,TCGA-HV-AA8V-01A,TCGA-HV-A5A5-01A,TCGA-M8-A5N4-01A,TCGA-3A-A9IJ-01A,TCGA-HZ-8637-01A,TCGA-IB-AAUN-01A,TCGA-IB-AAUW-01A,TCGA-IB-7888-01A,TCGA-2L-AAQA-01A,TCGA-RB-A7B8-01A,TCGA-2L-AAQM-01A,TCGA-2J-AABE-01A,TCGA-IB-7889-01A,TCGA-IB-A6UF-01A,TCGA-F2-A8YN-01A,TCGA-F2-A44H-01A,TCGA-YH-A8SY-01A,TCGA-3A-A9IC-01A,TCGA-HZ-A4BK-01A,TCGA-Z5-AAPL-01A,TCGA-H6-A45N-01A,TCGA-HZ-A4BH-01A,TCGA-F2-A7TX-01A,TCGA-Q3-A5QY-01A,TCGA-F2-A44G-01A,TCGA-HZ-A49G-01A,TCGA-HZ-8005-01A,TCGA-HZ-8001-01A,TCGA-LB-A7SX-01A,TCGA-HV-A5A6-01A,TCGA-HZ-8003-01A,TCGA-IB-AAUS-01A,TCGA-HZ-A77P-01A,TCGA-US-A77E-01A,TCGA-IB-7890-01A,TCGA-LB-A9Q5-01A,TCGA-IB-7644-01A,TCGA-2J-AABT-01A,TCGA-2J-AAB1-01A,TCGA-HZ-7920-01A,TCGA-3A-A9IL-01A,TCGA-2J-AABI-01A,TCGA-IB-7647-01A,TCGA-IB-A5SS-01A,TCGA-S4-A8RO-01A,TCGA-IB-A5ST-01A,TCGA-HZ-7918-01A,TCGA-XD-AAUI-01A,TCGA-IB-AAUO-01A,TCGA-PZ-A5RE-01A,TCGA-2J-AABA-01A,TCGA-HV-A5A4-01A,TCGA-3A-A9IZ-01A,TCGA-XD-AAUL-01A,TCGA-IB-7886-01A,TCGA-S4-A8RM-01A,TCGA-HZ-A49H-01A,TCGA-HZ-8636-01A,TCGA-IB-AAUU-01A,TCGA-IB-7885-01A,TCGA-2J-AABO-01A,TCGA-HZ-A8P1-01A,TCGA-2J-AABV-01A,TCGA-US-A77G-01A,TCGA-US-A774-01A,TCGA-HZ-7919-01A,TCGA-2J-AABU-01A,TCGA-IB-7651-01A,TCGA-HZ-8315-01A,TCGA-2L-AAQL-01A,TCGA-IB-7893-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPS-01A,TCGA-IB-AAUP-01A,TCGA-3A-A9IS-01A,TCGA-3A-A9I7-01A,TCGA-2J-AABP-01A,TCGA-HV-A7OL-01A,TCGA-F2-6879-01A,TCGA-FB-A4P6-01A,TCGA-HV-A7OP-01A,TCGA-HZ-7922-01A,TCGA-FB-AAPU-01A,TCGA-3A-A9IX-01A,TCGA-HZ-8317-01A,TCGA-3A-A9J0-01A,TCGA-FB-A4P5-01A,TCGA-3E-AAAZ-01A,TCGA-3E-AAAY-01A,TCGA-H6-8124-01A,TCGA-2L-AAQI-01A,TCGA-HZ-A8P0-01A,TCGA-3A-A9I5-01A,TCGA-YB-A89D-01A,TCGA-2J-AABH-01A,TCGA-IB-7646-01A,TCGA-US-A776-01A,TCGA-IB-A5SO-01A,TCGA-FB-AAQ0-01A,TCGA-RB-AA9M-01A,TCGA-IB-A5SP-01A,TCGA-HZ-A77Q-01A,TCGA-IB-7654-01A,TCGA-3A-A9IN-01A,TCGA-3A-A9IV-01A,TCGA-3A-A9IR-01A,TCGA-IB-AAUV-01A,TCGA-HZ-7289-01A,TCGA-FB-AAPP-01A,TCGA-IB-A7LX-01A,TCGA-IB-A7M4-01A,TCGA-3A-A9IO-01A,TCGA-US-A779-01A,TCGA-2L-AAQE-01A,TCGA-FB-AAQ6-01A,TCGA-2J-AABK-01A,TCGA-HV-AA8X-01A,TCGA-IB-AAUM-01A,TCGA-H8-A6C1-01A,TCGA-F2-7273-01A,TCGA-FB-AAPY-01A,TCGA-FB-A78T-01A,TCGA-IB-8126-01A,TCGA-Q3-AA2A-01A,TCGA-HZ-8002-01A,TCGA-IB-A5SQ-01A,TCGA-HZ-A49I-01A,TCGA-HZ-7926-01A,TCGA-IB-AAUR-01A,TCGA-FB-A5VM-01A,TCGA-FB-AAQ3-01A,TCGA-2J-AABR-01A,TCGA-XN-A8T5-01A,TCGA-IB-8127-01A,TCGA-3A-A9IH-01A,TCGA-XD-AAUG-01A,TCGA-IB-7891-01A,TCGA-HZ-7925-01A,TCGA-2L-AAQJ-01A,TCGA-IB-7887-01A,TCGA-FB-AAQ1-01A,TCGA-S4-A8RP-01A,TCGA-FB-AAPQ-01A,TCGA-YY-A8LH-01A,TCGA-HZ-A77O-01A,TCGA-FB-AAPZ-01A,TCGA-FB-AAQ2-01A,TCGA-LB-A8F3-01A,TCGA-IB-7645-01A,TCGA-HZ-A9TJ-01A,TCGA-2J-AAB6-01A,TCGA-2J-AABF-01A,TCGA-XD-AAUH-01A,TCGA-2J-AAB9-01A,TCGA-OE-A75W-01A,TCGA-2J-AAB4-01A,TCGA-IB-7652-01A,TCGA-3A-A9I9-01A,TCGA-XN-A8T3-01A,TCGA-IB-7649-01A,TCGA-2J-AAB8-01A,TCGA-3A-A9IB-01A
TMEM40,1,9.310612782,6.491853096,6.189824559,9.539158811,3.700439718,6.686500527,4.459431619,5.129283017,0,3.321928095,5.357552005,4.459431619,2,4.700439718,2.807354922,2,5.614709844,7.826548487,5,7.539158811,2.584962501,7.451211112,4.857980995,5.857980995,2.584962501,5.209453366,7.14974712,8.614709844,5.392317423,6.714245518,5.285402219,5.523561956,8.199672345,5.832890014,6.375039431,5.169925001,2.584962501,5.614709844,4.087462841,4.754887502,5.209453366,3.169925001,2.807354922,0,3,1,10.48683502,4.087462841,8.965784285,6.50779464,5.700439718,2.584962501,6.303780748,5,7.294620749,3.584962501,7.948367232,2.584962501,5.95419631,2.321928095,2,5.247927513,7.686500527,6.022367813,7.375039431,4.64385619,2.584962501,1,6.64385619,3,4.459431619,7.665335917,2.584962501,7.442943496,3.459431619,6.491853096,7.426264755,4.169925001,7.475733431,0,7.247927513,3,7.426264755,6.686500527,2.807354922,2.321928095,4.754887502,3.807354922,6,3,8.124121312,5.044394119,3.321928095,3.584962501,6.988684687,8.266786541,1,3.459431619,5.832890014,3.807354922,7.562242424,2,6.375039431,5.95419631,6.14974712,2.807354922,4.95419631,1,1,0,0,2.807354922,4.321928095,0,7.139551352,9.758223215,0,4.584962501,4.247927513,5.321928095,5.426264755,7.392317423,2,4.523561956,3.584962501,6.375039431,5.209453366,3.321928095,4.700439718,2.584962501,4,2.321928095,7.199672345,3.807354922,10.95855272,7.312882955,8.744833837,4.087462841,5.977279923,4.169925001,3.906890596,3.700439718,6.584962501,4.857980995,6.189824559,4.459431619,2,2.807354922,3.321928095,6.658211483,7.741466986,6.87036472,3.700439718,1,5.584962501,7.238404739,5,2.321928095,3.807354922,5.781359714,5.807354922,5.044394119,4.523561956,4.857980995,4.392317423,3,7.459431619
EREG,6.209453366,7.658211483,10.70822173,8.21916852,8.62935662,9.068778278,7.754887502,5.491853096,8.550746785,0,4.95419631,7.285402219,5.392317423,5.044394119,9.616548844,5.95419631,0,6.714245518,8.54303182,9.087462841,10.32979634,4,7.087462841,8.388017285,8.113742166,5.554588852,3.321928095,8.569855608,11.10066234,6.266786541,7.936637939,6.266786541,10.72024426,8.861086906,6.894817763,6.807354922,6.614709844,8.682994584,7.924812504,7.238404739,10.87267488,8.689997971,7.392317423,7.721099189,7.592457037,10.02236781,1,9.620219826,6.087462841,8.915879379,4.087462841,4.584962501,3.906890596,6.50779464,9.566054038,10.07815081,8.330916878,6.375039431,10.87651695,11.61976146,8.405141463,9.37286506,6.442943496,10.60084211,8.611024797,11.72366094,6.965784285,4.087462841,2.807354922,7,6.942514505,10.97871046,9.789533645,10.07547915,10.86031105,4.321928095,11.5137276,6.672425342,4.584962501,6.768184325,0,8.060695932,4.700439718,8.321928095,7.971543554,6.523561956,2.321928095,7.942514505,5.95419631,7.918863237,9.4325419,8.50779464,8.285402219,6.169925001,6.169925001,13.00527366,10.04165915,3.459431619,4,7.761551232,8.939579214,9.851749041,5.857980995,9.759888183,7.238404739,7.209453366,7.754887502,8.577428828,5.700439718,3.321928095,1,0,4.584962501,5.169925001,5.087462841,11.03754695,10.01541505,1,7.727920455,9.818582177,6.50779464,5.523561956,8.721099189,3.584962501,6.087462841,8.618385502,7.918863237,5.700439718,6.754887502,8.214319121,6.523561956,10.20823436,10.92109709,13.04746477,7.622051819,10.01541505,8.503825738,10.45429929,9.142107057,11.00422047,9.719388821,4.906890596,5.882643049,7.924812504,6.832890014,9.824958741,2.584962501,8.588714636,3.700439718,5.169925001,10.509775,10.36413466,11.31118066,4.700439718,6.209453366,10.80896417,10.68123841,7.459431619,6.523561956,7.129283017,7.022367813,9.826548487,9.20701432,6.491853096,8.271463028,6.044394119,6.022367813,12.97513146
SSTR3,5.247927513,4.857980995,4.754887502,8.326429487,2.321928095,11.05799172,5.584962501,8.971543554,1,11.73555602,9.675957033,5.459431619,8.957102042,8.994353437,3.584962501,5.781359714,7.707359132,5.129283017,6.794415866,3.807354922,4,5.584962501,3.584962501,3.700439718,4.906890596,7.857980995,8.54303182,8.539158811,7.499845887,7.139551352,3.321928095,7.357552005,3.700439718,10.357552,5.491853096,1,9.152284842,5.392317423,6.832890014,4.95419631,8.335390355,6.321928095,3.321928095,2,6.044394119,11.65374078,12.72109919,4.247927513,9.036173613,4,7.033423002,6.209453366,8.14974712,7.982993575,4.64385619,5.930737338,2.321928095,7.614709844,2,6.554588852,4.321928095,5.247927513,7.442943496,8.199672345,6.894817763,4.321928095,7.459431619,4.64385619,4.459431619,5.285402219,6.108524457,7.62935662,1.584962501,7.17990909,5.614709844,8.164906927,5.95419631,2.807354922,4.754887502,7.276124405,13.23242093,5.584962501,3.459431619,6.754887502,0,5.700439718,2.807354922,5.807354922,6.22881869,8.184875343,2.321928095,3.807354922,8.303780748,3,6.614709844,5.807354922,8.049848549,4.754887502,9.105908509,9.174925683,8.527477006,3,4.087462841,8.665335917,2,9.409390936,7.46760555,5.321928095,8.252665432,10.30263892,10.87574935,7.700439718,8.511752654,1.584962501,1.584962501,1.584962501,5.727920455,13.77344832,7.912889336,5.523561956,5.700439718,9.891783703,6.022367813,7.554588852,4.169925001,9.233619677,7.366322214,6.50779464,7.033423002,1,8.224001674,10.51668495,5.459431619,4.321928095,7.622051819,7.577428828,3.321928095,7.539158811,7.577428828,6.339850003,8.164906927,9.733015322,7.942514505,6.50779464,3,2,7.321928095,7.988684687,4.906890596,6.247927513,4.392317423,5.700439718,9.28077077,6.285402219,7.864186145,5.906890596,8.016808288,8.909893084,10.86341196,5.930737338,6.475733431,8.451211112,8.224001674,7.636624621,7.321928095,7.700439718,2,4.906890596
KRT4,4.807354922,7.400879436,6.459431619,8.882643049,11.81858218,3,3.700439718,3.906890596,1,0,5.523561956,4.754887502,10.22037833,3.700439718,4.169925001,3.584962501,0,2.321928095,5.614709844,7.21916852,9.517669388,1,7.918863237,1.584962501,6.442943496,5.754887502,6.491853096,8.906890596,4.700439718,5.209453366,4.247927513,3.321928095,3.321928095,13.50630758,10.07146236,1.584962501,5.807354922,4.754887502,6.459431619,3.807354922,5.247927513,4.64385619,3.459431619,5.554588852,4.64385619,10.46147945,3,3.906890596,9.513727596,3.321928095,3.169925001,2.807354922,3.807354922,3.906890596,9.310612782,10.50084188,8.968666793,4.321928095,2,8.764871591,8.74819285,6.129283017,5.087462841,6.169925001,9.033423002,6.727920455,5.700439718,3.459431619,2.807354922,4.087462841,5.392317423,9.09011242,2.321928095,6.285402219,9.019590728,8.113742166,7.400879436,2.807354922,2.584962501,6.475733431,0,7.098032083,0,6.303780748,6.794415866,4.584962501,0,8.199672345,3.459431619,8.951284715,5.285402219,7.77478706,6.918863237,4.64385619,4.64385619,4.247927513,7.409390936,1.584962501,3.700439718,5.209453366,5.727920455,3.700439718,1,6.189824559,4,10.46147945,11.12863881,2.321928095,5,0,1.584962501,0,4.906890596,0,0,11.7903485,12.60917874,5.426264755,7.87036472,11.27786855,4.523561956,7.599912842,3.459431619,4.754887502,4.584962501,8.038918989,6.569855608,3.807354922,5.426264755,5.700439718,6.459431619,3,5.129283017,5.554588852,2.807354922,12.58167136,4,5.95419631,2,6.965784285,6.781359714,3.169925001,5.044394119,7.383704292,4.523561956,5.977279923,2.584962501,6.906890596,2.584962501,4.392317423,8.820178962,5.672425342,12.84666568,2.807354922,4.321928095,3.459431619,6.044394119,7.129283017,2,4.247927513,5.459431619,6.754887502,4,3.906890596,8.519636253,6.108524457,4.321928095,4.321928095
KCNH6,4.906890596,3.807354922,3.700439718,7.6794801,1.584962501,9.945443836,4.95419631,7.17990909,3,12.65620138,8.17990909,4.523561956,8.569855608,8.199672345,3.807354922,5.087462841,12.16710448,4.459431619,5.129283017,3.906890596,2.584962501,5.491853096,4,3.700439718,4.857980995,3,7.787902559,6.965784285,6.727920455,3.459431619,3.321928095,5.781359714,3.321928095,9.209453366,5.209453366,1,8.092757141,4.321928095,6.247927513,4,7.417852515,4.906890596,2.807354922,0,4.754887502,10.89254282,13.59222342,3.169925001,7.303780748,3.459431619,6.727920455,1,5.906890596,7.06608919,5.285402219,5.727920455,2.807354922,7.055282436,2.584962501,5.523561956,4.700439718,4.64385619,8.577428828,7.108524457,6.754887502,4.64385619,6.714245518,4.906890596,4.459431619,5.426264755,5.459431619,6.523561956,0,5.64385619,6.087462841,8.257387843,4.087462841,3.584962501,5.087462841,5.906890596,13.32811389,5.392317423,1.584962501,4.64385619,2.321928095,6.108524457,1.584962501,5.321928095,4.392317423,8.434628228,2.321928095,1.584962501,6.95419631,2.584962501,6.727920455,5.459431619,7.076815597,4.087462841,8.54689446,8.30833903,7.21916852,2,8.794415866,7.882643049,1.584962501,7.960001932,5.882643049,2,7.209453366,12.46633142,11.38694025,10.65910396,8.888743249,6.266786541,6.754887502,2.807354922,5.129283017,13.88226093,6.754887502,3.169925001,4.459431619,8.28077077,5.357552005,6.392317423,4.459431619,8.768184325,6.882643049,6.129283017,7.285402219,0,6.845490051,9.83447105,5.129283017,3,7.434628228,7.011227255,3.169925001,6.64385619,7.442943496,5.523561956,7.475733431,9.060695932,6.965784285,5.491853096,2.807354922,1,5.584962501,7.044394119,4.523561956,5.129283017,3.700439718,5.321928095,8.647458426,4.807354922,7.562242424,5,7.539158811,7.942514505,9.802516365,4.754887502,5.129283017,7.294620749,7.339850003,7.794415866,6.285402219,6.209453366,2,3.169925001
IGFL3,1.584962501,3.584962501,6.129283017,6.357552005,4.247927513,0,5.087462841,7.312882955,4.169925001,0,7.312882955,4.392317423,1,0,5.285402219,7.199672345,1,6.266786541,0,0,5.700439718,6.339850003,7.348728154,7.348728154,4.459431619,0,3.584962501,0,1,2.807354922,5.906890596,5.129283017,5.285402219,2.321928095,2,5.357552005,5.129283017,5.129283017,1,4.95419631,6.442943496,0,5.426264755,0,3.807354922,1,1,6.845490051,2,9.21916852,4.584962501,3.169925001,2.321928095,3.700439718,5.087462841,6.977279923,3.459431619,6.189824559,3.584962501,4.321928095,6.209453366,3,0,7.73470962,3.807354922,5.169925001,3.321928095,3.700439718,1,0,6.727920455,3.700439718,4.321928095,5.357552005,4.392317423,3.807354922,8.675957033,1,8.696967526,2.321928095,0,4.584962501,3,5.357552005,5.857980995,2,1,2.807354922,4.906890596,2.321928095,0,4.95419631,5.459431619,3,0,8.375039431,2,3.584962501,2.584962501,3.700439718,2.584962501,5.209453366,0,5.930737338,4.95419631,0,1.584962501,3.459431619,4.392317423,0,1.584962501,0,2.321928095,6.339850003,0,5,6.845490051,0,2,3.807354922,5.044394119,3.169925001,6.409390936,3.321928095,0,0,3.906890596,5.247927513,1.584962501,5.459431619,2.807354922,2.584962501,1.584962501,1.584962501,2,3.321928095,5.977279923,2,0,7.936637939,3.169925001,5.426264755,0,4.906890596,2,3.321928095,0,3,4.459431619,0,4.906890596,2.584962501,3.584962501,4.807354922,1,0,5.129283017,3.169925001,0,1,5.672425342,3.906890596,2,4.169925001,4.459431619,1.584962501,4.523561956,5.209453366
C1orf158,1,0,3.169925001,4.169925001,0,6.06608919,2.584962501,4.087462841,1,7.700439718,4.857980995,0,4.64385619,3.906890596,0,2,5.727920455,2,0,1,1.584962501,1.584962501,0,0,0,0,4.247927513,4.321928095,1.584962501,0,2.321928095,2.321928095,0,6.700439718,1.584962501,0,4.169925001,0,1.584962501,1,3,2.321928095,1,0,1.584962501,4.906890596,7.577428828,0,4.087462841,2,3,0,1,3.700439718,2.321928095,2,0,3.169925001,0,2,1.584962501,0,2.807354922,3.459431619,3.169925001,0,3.321928095,1,0,0,2.321928095,2.807354922,0,2,2,3.459431619,2.584962501,1.584962501,1,2,10.45429929,4.64385619,2.584962501,0,1,0,1.584962501,2.584962501,1.584962501,0,0,0,3.700439718,0,1,2,3.700439718,1,3.169925001,4.247927513,5.129283017,7.554588852,0,3,0,4.95419631,2,0,2.807354922,9.710806434,4.087462841,6.22881869,2.807354922,0,0,0,0,10.08214904,4.087462841,0,1.584962501,4.807354922,3.169925001,1.584962501,2,3,1.584962501,1,1.584962501,0,2,5.087462841,1,1,0,3.169925001,1,3.459431619,3,0,3.807354922,4.523561956,4,3.459431619,0,0,1,2.321928095,1.584962501,2.321928095,1.584962501,2.584962501,5,2,3,3.169925001,4.087462841,4.087462841,5.672425342,0,0,4.700439718,4.169925001,3,2.584962501,3,0,0
TMEM132D,4.857980995,2.584962501,3.906890596,6.918863237,1.584962501,10.18611424,4.64385619,7.584962501,1,12.19936562,8.724513853,4.700439718,7.761551232,8.049848549,3,4.906890596,3.459431619,4.321928095,5.857980995,4.169925001,1,4.754887502,2,1.584962501,4.459431619,0,7.562242424,7.247927513,6.906890596,0,3.459431619,5,3.807354922,8.049848549,3.584962501,1.584962501,7.882643049,4.807354922,6.303780748,4.807354922,6.807354922,5.129283017,4.169925001,3.169925001,5.523561956,10.56033283,8.375039431,2,7.918863237,2.321928095,6.14974712,2.807354922,10.63390341,6.807354922,4.459431619,4.64385619,0,6.820178962,1.584962501,5.392317423,4.64385619,4.584962501,7.400879436,7.129283017,5.64385619,4.523561956,5.906890596,3.459431619,3.700439718,4.807354922,5.247927513,6.727920455,1,6,5.64385619,7.044394119,4.459431619,4.857980995,3.459431619,5.426264755,13.06153996,4.523561956,1,3.459431619,2.321928095,5.882643049,2.321928095,5.044394119,4.64385619,7.169925001,3.459431619,0,6.442943496,4,5.832890014,5.781359714,6.614709844,3.906890596,7.383704292,7.108524457,6.894817763,2.321928095,2,7.118941073,1.584962501,8.103287808,6.022367813,2.584962501,7.781359714,9.169925001,8.924812504,10.19844504,8.28077077,1,0,2,4.392317423,11.55650605,5.906890596,3,4.459431619,7.971543554,4.95419631,6.285402219,4.087462841,8.366322214,6.894817763,5.754887502,6.820178962,0,6.794415866,9.105908509,5.087462841,4.169925001,5.754887502,6.285402219,1,6.266786541,5.554588852,5.491853096,6.942514505,8.124121312,7.169925001,6.022367813,2,2,5,6.459431619,2.584962501,5,3.459431619,4,7.584962501,4.523561956,7.022367813,4.700439718,6.658211483,7.77478706,9.011227255,5.129283017,3.906890596,7.539158811,7.686500527,6.426264755,6.523561956,6.87036472,0,4.087462841
ANXA8,8.839203788,10.23959853,6.95419631,11.22460468,10.36084708,9.776433032,9.430452552,5.523561956,10.71681946,1,5.247927513,10.52160044,7.426264755,2,7.483815777,5.491853096,0,7.189824559,11.58025857,10.42101286,9.385862401,4.392317423,10.57837269,7.17990909,8.204571144,7.348728154,7.820178962,10.72366094,11.06474276,10.04302728,7.531381461,8.204571144,9.981567282,11.17305246,10.27844946,5.754887502,8.321928095,9.079484784,7.562242424,7.622051819,10.54978467,6.672425342,6.426264755,5.491853096,6.129283017,6.672425342,3.584962501,13.15545073,7.651051691,11.01402047,9.071462363,6.781359714,5.64385619,9.273795599,11.04644195,10.85096815,6.375039431,9.306061689,7.383704292,10.38154295,8.768184325,5,5.727920455,9.063395081,8.276124405,10.79522797,10.03204573,5.754887502,5.584962501,8.214319121,8.804131021,8.936637939,10.81297947,4.700439718,10.58214198,6.700439718,8.686500527,6.022367813,6.64385619,10.12153352,1,10.23242093,6.50779464,9.152284842,8.154818109,7.06608919,0,8.076815597,3.584962501,8.451211112,7.936637939,10.04575966,8.668884984,8.693486957,6.475733431,11.2632692,9.816983623,7.294620749,3.906890596,8.599912842,9.169925001,11.22580994,1,7.636624621,5.95419631,9.698704667,7.721099189,7.888743249,8.30833903,2.584962501,1,0,6.06608919,2.584962501,1,10.8273427,11.268542,2.807354922,7.614709844,9.861086906,4.754887502,7.312882955,7.366322214,5.754887502,6.584962501,7.95419631,8.625708843,6.807354922,4.906890596,5.930737338,7.209453366,6.614709844,9.560332834,10.26209485,7.87036472,11.26561505,7.754887502,8.897845456,6.266786541,10.84156435,10.38262403,3.321928095,6.266786541,9.726218159,8.224001674,10.68474862,9.503825738,5.247927513,2.807354922,7.199672345,11.15291858,9.257387843,12.42600261,3.459431619,7.539158811,7.924812504,9.440869168,8.383704292,7.539158811,8.348728154,9.068778278,8.882643049,9.465566405,9.019590728,9.396604781,7.076815597,6.392317423,10.8153833
CYP24A1,9.487840034,8.103287808,5.977279923,5.832890014,6.539158811,8.491853096,6.357552005,6.672425342,4,0,6.189824559,2.321928095,6.686500527,3.169925001,5.700439718,5.392317423,0,4,4.247927513,10.02375435,8.592457037,8.577428828,6.392317423,5.321928095,7.098032083,2.321928095,4.523561956,5.727920455,10.51668495,5.285402219,6.06608919,4.169925001,6.87036472,7.599912842,10.69957245,6.741466986,2.321928095,4.754887502,6.700439718,3.807354922,5.426264755,4.169925001,5.906890596,4.754887502,2.584962501,5.247927513,2.321928095,12.89197352,11.4325419,8.647458426,2.321928095,0,4.857980995,5.169925001,10.40301202,8.724513853,4.754887502,6.491853096,6.554588852,6.894817763,5.554588852,1,6.129283017,7.658211483,6.266786541,6.832890014,4,0,0,5.857980995,4.700439718,5.169925001,11.00422047,11.00211178,7.672425342,2.807354922,9.832890014,3.321928095,3.459431619,7.366322214,2,5.523561956,5.727920455,2.807354922,2.321928095,3.169925001,2,9.717676423,1.584962501,10.16741815,6.942514505,0,3.584962501,2,4.584962501,10.3553511,5.209453366,2.807354922,2.584962501,6.169925001,5.95419631,7.330916878,1.584962501,6.285402219,3.169925001,5.459431619,5.832890014,4,2,2.584962501,2.584962501,0,3.807354922,4.087462841,0,8.982993575,9.99859043,2.321928095,5.727920455,9.990103964,3.459431619,6.108524457,5.044394119,3,4.95419631,5.169925001,5.392317423,4,3.584962501,6.539158811,5.491853096,2.321928095,5.459431619,3.321928095,5.169925001,8.661778098,4.247927513,10.41996018,4.169925001,9.625708843,8.409390936,5.95419631,4.247927513,3.169925001,4.754887502,11.36741475,3.807354922,2,1.584962501,3.584962501,2.321928095,9.184875343,8.451211112,1,2.584962501,3.169925001,4,6.599912842,5.285402219,6.64385619,3,5,5.727920455,4.087462841,6.50779464,4.392317423,2.321928095,9.187352073
CST1,6.599912842,7.820178962,10.25384748,11.94580958,10.49685378,10.00562455,11.94544384,12.01192607,11.13057056,0,11.36468186,11.63072216,8.294620749,9.784634846,12.67176219,12.45121111,0,11.24911345,12.93018292,10.14338321,11.55362929,7.303780748,11.47218312,10.02097994,12.10427113,10.15608308,10.80815977,11.05052891,5.209453366,7.665335917,10.44604941,10.31514956,10.10721708,7.95419631,9.672425342,12.89916808,10.04575966,6.392317423,9.479780264,10.42206477,9.515699838,10.17367714,12.97620609,10.12928302,12.35645197,8.233619677,8.758223215,12.89708913,11.49535539,9.724513853,9.828136484,11.74693414,8.751544059,7.46760555,7.607330314,13.02513956,6.022367813,13.28410113,7.383704292,15.51557665,11.1382718,9.475733431,4.64385619,12.20579325,12.19567979,9.533329732,10.7968508,11.36796071,4.392317423,7.434628228,9.854868383,12.60640521,12.44527356,13.30235333,12.68431031,10.46352437,6.845490051,12.15481811,4.247927513,11.95019135,1.584962501,10.01122726,1,12.35066299,10.96144969,10.66799854,7.21916852,7.714245518,11.78217919,11.41309898,9.82336724,12.67595703,10.28077077,12.43462823,13.18441048,12.69501074,10.24198315,12.32979634,10.357552,11.64430696,8.475733431,12.51840728,9.142107057,12.25944905,12.99894295,10.22641219,9.84862294,8.731319031,13.86457308,2.807354922,4.754887502,1.584962501,8.413627929,7.189824559,5.832890014,11.80654962,8.618385502,6.50779464,10.26561505,12.29892174,6.794415866,9.607330314,12.66133275,11.00351791,13.16034417,10.16239133,13.65999589,12.22339841,8.535275377,10.12282799,10.24079133,12.59082093,8.366322214,11.34762137,10.96289601,13.33035672,13.01035327,11.72366094,9.541096615,13.21264837,11.79441587,11.99435344,13.81478272,13.0225412,11.36249181,11.1692987,7.912889336,10.46862404,8.503825738,10.69696753,11.4236412,10.72877085,10.48280796,5.087462841,10.027906,8.144658243,6.658211483,9.842350343,6.266786541,8.784634846,14.20823436,11.75154406,13.63254088,11.92962828,3.807354922,10.14465824,8.741466986,10.94690627
KCNMB2,4.087462841,3,3,7.22881869,1,9.627533884,5.169925001,7.076815597,1,10.13185696,8.640244936,4.321928095,7.569855608,8.071462363,3.169925001,4.321928095,8.194756854,3.906890596,5.044394119,3.906890596,3.321928095,4.64385619,3.169925001,3.321928095,4.321928095,1.584962501,6.832890014,6.894817763,5.727920455,1,3.321928095,5.129283017,2.584962501,8.861086906,3.906890596,2.807354922,7.14974712,3.321928095,5.392317423,4.523561956,6.942514505,4.087462841,3.906890596,2.807354922,5,10.37503943,9.499845887,1,7.451211112,3.321928095,5.523561956,3.321928095,6.599912842,6.832890014,3.906890596,4,2.807354922,6.129283017,1,5.247927513,3.584962501,4.700439718,7.044394119,7.238404739,5.977279923,3.169925001,5.930737338,2.807354922,2.321928095,4.700439718,4.087462841,6.741466986,2,6.022367813,5.459431619,6.882643049,4.906890596,3.700439718,4.087462841,5.882643049,10.28308835,3.906890596,1,3.584962501,1.584962501,5.285402219,1,4.584962501,3.700439718,6.845490051,2.584962501,2.321928095,6.539158811,3.321928095,5.807354922,5.169925001,6.189824559,4.247927513,8.033423002,7.321928095,6.108524457,2.321928095,4.459431619,6.475733431,2.321928095,7.658211483,6.087462841,0,6.965784285,10.23481743,9.842350343,12.21036695,8.098032083,4,3,2,4.523561956,9.890264277,6.087462841,2.807354922,5.044394119,8.392317423,4.807354922,6.06608919,4,8.826548487,4.906890596,5.392317423,6.169925001,1,6.894817763,9.14974712,5.169925001,3.906890596,5.044394119,5.857980995,4.321928095,5.727920455,5.523561956,5.672425342,6.700439718,8.044394119,6.129283017,5.523561956,2.321928095,1,5.614709844,6.475733431,4.459431619,4.247927513,2.807354922,4.321928095,7.807354922,4.906890596,7.055282436,4.807354922,6.714245518,7.483815777,8.900866808,4.169925001,4.321928095,6.700439718,7.139551352,6.87036472,6.409390936,6.672425342,1,4.169925001
